employee_id,name,email,designation,age,length_of_service,is_promoted,no_of_trainings,avg_training_score
61758,Zach Carter,zach_carter338@gmail.com,Analytics,44,12,0,10,88.0
75009,Grace Lee,grace_lee488@gmail.com,Procurement,50,11,0,10,71.0
17876,Xander Wilson,xander_wilson564@gmail.com,Procurement,37,4,0,10,71.0
36924,Catherine Edwards,catherine_edwards774@gmail.com,Technology,40,11,0,10,80.0
50408,Paul Harris,paul@gmail.com,Sales & Marketing,30,3,0,10,49.0
18013,Alice Baker,alice@gmail.com,Procurement,56,12,0,10,73.0
24104,Alice Baker,alice_baker480@gmail.com,Finance,20,2,0,10,60.0
32083,Grace Phillips,grace_phillips612@gmail.com,Sales & Marketing,31,8,0,10,48.0
38330,Victor Brooks,victor_brooks501@gmail.com,Procurement,40,12,0,10,65.0
33690,Zach White,zach_white26@gmail.com,HR,30,6,0,10,50.0
73161,Karen Kelly,karen_kelly754@gmail.com,Operations,39,5,0,10,62.0
13596,Sam Lee,sam_lee597@gmail.com,Analytics,26,2,0,10,85.0
45709,Grace Brooks,grace_brooks379@gmail.com,Sales & Marketing,29,1,0,10,49.0
32709,Sam Martinez,sam_martinez955@gmail.com,R&D,40,5,0,10,84.0
26599,Eva Wood,eva_wood205@gmail.com,Sales & Marketing,27,1,0,10,47.0
32656,Xander Carter,xander_carter729@gmail.com,Sales & Marketing,40,7,0,10,52.0
17673,Mia Brown,mia@gmail.com,Sales & Marketing,50,17,1,10,47.0
3113,Alice Carter,alice_carter165@gmail.com,Sales & Marketing,25,3,0,10,53.0
9150,Catherine Phillips,catherine_phillips795@gmail.com,Analytics,28,1,0,10,80.0
14107,Victor Taylor,victor_taylor963@gmail.com,Sales & Marketing,35,2,0,10,52.0
58747,Mia Morgan,mia_morgan577@gmail.com,R&D,34,5,0,10,87.0
3342,Victor Cooper,victor_cooper770@gmail.com,Operations,31,3,0,10,58.0
77981,Mia Davis,mia_davis72@gmail.com,Finance,27,1,1,10,58.0
16502,Xander Evans,xander_evans296@gmail.com,Sales & Marketing,27,1,1,10,
73729,Mia Edwards,mia_edwards397@gmail.com,Procurement,30,6,0,10,75.0
45624,Bob Evans,bob@gmail.com,Analytics,30,7,1,10,84.0
75677,Alice Phillips,alice_phillips38@gmail.com,Operations,50,5,0,10,59.0
24040,Rachel Brown,rachel_brown211@gmail.com,Technology,34,7,1,10,78.0
68082,Bob Johnson,bob_johnson539@gmail.com,Sales & Marketing,41,12,0,10,52.0
51786,Zach Thompson,zach_thompson889@gmail.com,Sales & Marketing,32,6,0,10,44.0
77577,Olivia Kelly,olivia_kelly797@gmail.com,Sales & Marketing,50,14,0,10,52.0
54782,Zach Thompson,zach_thompson711@gmail.com,Sales & Marketing,38,2,1,10,49.0
52368,Yvonne Johnson,yvonne_johnson637@gmail.com,Sales & Marketing,29,5,0,10,51.0
75103,Paul Baker,paul_baker493@gmail.com,Sales & Marketing,35,3,0,10,53.0
7520,Bob Green,bob_green72@gmail.com,Analytics,25,2,0,10,91.0
59147,Isabella Wood,isabella_wood745@gmail.com,Sales & Marketing,30,3,1,10,58.0
53092,Noah Wood,noah@gmail.com,Technology,47,7,0,10,79.0
34564,Karen Thompson,karen_thompson994@gmail.com,Operations,35,7,0,10,53.0
66013,Alice Brown,alice_brown172@gmail.com,Sales & Marketing,25,2,0,10,53.0
77135,Liam Smith,liam_smith529@gmail.com,R&D,36,8,0,10,82.0
44575,Olivia Martinez,olivia_martinez497@gmail.com,Legal,29,1,1,10,65.0
47498,Harry Evans,harry_evans281@gmail.com,Operations,42,11,1,10,60.0
20798,Grace Green,grace_green395@gmail.com,HR,28,6,0,10,52.0
69094,Jack Taylor,jack_taylor772@gmail.com,Sales & Marketing,39,9,0,10,49.0
22261,Bob Perez,bob_perez62@gmail.com,Procurement,32,3,1,10,69.0
9589,Liam Moore,liam_moore859@gmail.com,Sales & Marketing,31,1,0,10,51.0
62658,Harry Carter,harry_carter639@gmail.com,Sales & Marketing,20,1,0,10,55.0
21628,Liam Perez,liam_perez227@gmail.com,Analytics,34,8,0,10,85.0
68484,Eva Harris,eva_harris453@gmail.com,Procurement,46,3,0,10,74.0
44523,Victor Cooper,victor_cooper690@gmail.com,HR,47,7,0,10,44.0
35420,David Harris,david_harris322@gmail.com,Operations,44,13,0,10,53.0
43923,Harry Davis,harry_davis959@gmail.com,Analytics,31,4,0,10,86.0
64109,Jack Carter,jack_carter686@gmail.com,Technology,23,1,0,10,77.0
41983,Frank Wood,frank_wood729@gmail.com,Operations,33,5,0,10,57.0
21440,Bob Johnson,bob_johnson817@gmail.com,Sales & Marketing,41,12,0,10,52.0
51256,Quincy Taylor,quincy_taylor657@gmail.com,Finance,60,17,0,10,59.0
66635,Xander Davis,xander_davis402@gmail.com,Operations,31,4,1,10,63.0
16027,Victor Lee,victor_lee714@gmail.com,Operations,37,11,0,10,57.0
46020,Wendy Taylor,wendy_taylor956@gmail.com,Analytics,39,4,0,10,83.0
28509,Zach Perez,zach_perez181@gmail.com,Sales & Marketing,40,8,0,10,54.0
33587,Alice Cooper,alice_cooper705@gmail.com,Sales & Marketing,42,4,0,10,50.0
21387,Isabella Harris,isabella_harris369@gmail.com,Operations,35,6,1,10,57.0
55927,Noah White,noah_white667@gmail.com,Operations,41,6,0,10,62.0
60763,Sam Brooks,sam_brooks107@gmail.com,Procurement,23,2,0,10,73.0
53167,Wendy Harris,wendy_harris479@gmail.com,Sales & Marketing,31,4,0,10,50.0
32672,Xander Davis,xander_davis244@gmail.com,Analytics,42,19,0,10,79.0
48785,David Brown,david_brown590@gmail.com,Sales & Marketing,29,2,0,10,49.0
51444,Harry Harris,harry_harris215@gmail.com,HR,30,1,0,10,54.0
75778,Paul Lee,paul_lee965@gmail.com,Operations,41,6,0,10,63.0
14141,Jack Walker,jack_walker974@gmail.com,Sales & Marketing,40,2,1,10,90.0
17894,Sam Carter,sam_carter958@gmail.com,Sales & Marketing,34,5,0,10,49.0
54380,Bob Baker,bob_baker867@gmail.com,Sales & Marketing,31,2,0,10,46.0
51892,Victor Davis,victor_davis311@gmail.com,Technology,27,2,1,10,86.0
3625,Mia Davis,mia_davis43@gmail.com,Procurement,30,2,0,10,72.0
38771,Liam Johnson,liam_johnson587@gmail.com,Procurement,27,4,1,10,72.0
18959,Olivia Hill,olivia_hill131@gmail.com,Technology,36,7,0,10,82.0
21137,Frank Taylor,frank_taylor368@gmail.com,Technology,35,6,0,10,77.0
26097,Eva Phillips,eva_phillips147@gmail.com,Sales & Marketing,34,7,1,10,51.0
38052,Frank Baker,frank_baker17@gmail.com,Procurement,37,3,1,10,92.0
41746,Tina Martinez,tina_martinez333@gmail.com,Operations,27,1,0,10,58.0
72744,Wendy Smith,wendy_smith304@gmail.com,Procurement,47,5,0,10,71.0
5461,David Morgan,david_morgan788@gmail.com,Analytics,28,1,0,10,83.0
15227,Tina Thompson,tina_thompson452@gmail.com,Procurement,40,5,0,10,68.0
66874,Tina Davis,tina_davis651@gmail.com,Sales & Marketing,30,1,0,10,50.0
42068,Xander Walker,xander_walker4@gmail.com,Operations,38,9,0,10,
54825,Yvonne Martinez,yvonne_martinez716@gmail.com,Sales & Marketing,30,2,0,10,47.0
77709,Quincy Lee,quincy_lee191@gmail.com,Sales & Marketing,28,3,0,10,46.0
43712,Frank Wilson,frank_wilson127@gmail.com,Procurement,28,4,0,10,67.0
74783,Karen Evans,karen_evans560@gmail.com,Operations,35,7,0,10,58.0
19318,Uma Edwards,uma_edwards905@gmail.com,Analytics,32,8,1,10,89.0
12096,Mia Wood,mia_wood775@gmail.com,Sales & Marketing,36,8,0,10,50.0
5102,Frank Moore,frank_moore653@gmail.com,Operations,24,1,0,10,56.0
29521,Harry Martinez,harry_martinez151@gmail.com,Technology,27,4,0,10,78.0
36371,Bob Perez,bob_perez33@gmail.com,Finance,34,7,0,10,56.0
51164,Sam Johnson,sam_johnson185@gmail.com,Technology,31,4,0,10,78.0
17812,Alice Smith,alice_smith733@gmail.com,Technology,30,2,0,10,77.0
7606,Victor Morgan,victor_morgan573@gmail.com,Technology,30,7,0,10,76.0
50593,Quincy Wilson,quincy_wilson177@gmail.com,Finance,31,1,0,10,56.0
73735,Olivia Wood,olivia_wood801@gmail.com,Analytics,30,3,0,10,84.0
29313,Tina Edwards,tina_edwards413@gmail.com,Finance,28,2,0,10,57.0
40262,Tina Hill,tina_hill406@gmail.com,Technology,28,5,0,10,81.0
36904,Harry Smith,harry_smith458@gmail.com,Sales & Marketing,29,2,0,10,51.0
62552,Bob Brown,bob_brown21@gmail.com,Sales & Marketing,46,11,0,10,51.0
63285,Victor Carter,victor_carter682@gmail.com,Technology,31,4,0,10,80.0
74203,Xander Thompson,xander_thompson623@gmail.com,Procurement,28,4,0,10,72.0
75344,David Harris,david_harris139@gmail.com,Sales & Marketing,31,6,0,10,50.0
74018,Tina Evans,tina_evans288@gmail.com,HR,37,9,0,10,48.0
34985,Noah Smith,noah_smith856@gmail.com,Technology,34,8,1,10,88.0
35930,Eva Green,eva_green101@gmail.com,Procurement,25,3,1,10,70.0
6708,Yvonne Morgan,yvonne_morgan799@gmail.com,Operations,40,4,0,10,57.0
5515,Paul Lee,paul_lee584@gmail.com,Operations,43,7,1,10,56.0
53373,Yvonne Morgan,yvonne_morgan974@gmail.com,Operations,36,5,0,10,56.0
69316,Harry Green,harry_green308@gmail.com,Legal,29,3,0,10,63.0
41009,Alice Wood,alice_wood586@gmail.com,Finance,35,2,0,10,56.0
50622,Sam Morgan,sam_morgan735@gmail.com,Analytics,34,2,0,10,84.0
30106,Grace Johnson,grace_johnson788@gmail.com,Sales & Marketing,32,4,0,10,
45157,Zach Lee,zach_lee125@gmail.com,HR,27,1,0,10,50.0
23523,Noah Harris,noah_harris99@gmail.com,Technology,29,5,0,10,75.0
74349,Isabella Johnson,isabella_johnson229@gmail.com,Sales & Marketing,34,4,0,10,48.0
70543,Uma Kelly,uma_kelly433@gmail.com,Procurement,37,7,0,10,70.0
42245,Mia Baker,mia_baker40@gmail.com,Procurement,33,3,0,10,73.0
34405,Rachel Perez,rachel_perez954@gmail.com,Procurement,33,4,0,10,67.0
4134,Rachel Wood,rachel_wood396@gmail.com,Sales & Marketing,39,8,0,10,
23599,Jack Johnson,jack_johnson162@gmail.com,Technology,34,7,0,10,82.0
942,Victor Kelly,victor_kelly486@gmail.com,Technology,32,6,0,10,84.0
5281,Quincy Baker,quincy_baker312@gmail.com,Sales & Marketing,34,6,0,10,53.0
197,Grace Perez,grace_perez57@gmail.com,Finance,29,6,0,10,
37574,Xander Cooper,xander_cooper312@gmail.com,Sales & Marketing,28,2,0,10,50.0
26773,Eva White,eva_white483@gmail.com,Technology,28,5,0,10,75.0
70034,Xander Smith,xander_smith188@gmail.com,Procurement,35,9,0,10,70.0
40565,Catherine White,catherine_white956@gmail.com,Technology,40,3,0,10,86.0
17193,Olivia Phillips,olivia_phillips323@gmail.com,Sales & Marketing,27,4,0,10,54.0
76550,Yvonne Carter,yvonne_carter458@gmail.com,Procurement,26,3,0,10,70.0
53841,Catherine Carter,catherine_carter579@gmail.com,Operations,43,12,0,10,57.0
28314,Frank Cooper,frank_cooper72@gmail.com,Finance,23,1,0,10,
30196,Harry Wilson,harry_wilson141@gmail.com,Analytics,29,6,0,10,84.0
29757,Olivia Cooper,olivia_cooper468@gmail.com,Sales & Marketing,43,15,0,10,51.0
6073,Zach Cooper,zach_cooper144@gmail.com,Sales & Marketing,27,4,0,10,49.0
9863,Xander Martinez,xander_martinez687@gmail.com,Procurement,26,4,0,10,70.0
34306,Bob Martinez,bob_martinez470@gmail.com,Procurement,31,5,0,10,72.0
34041,Harry Harris,harry_harris831@gmail.com,Operations,40,11,0,10,58.0
21356,Jack Wilson,jack_wilson480@gmail.com,Operations,39,12,0,10,55.0
29540,Liam Lee,liam_lee958@gmail.com,Operations,30,6,0,10,57.0
51669,Sam Smith,sam_smith73@gmail.com,Technology,47,4,0,10,77.0
33825,Isabella Green,isabella_green970@gmail.com,Sales & Marketing,34,7,1,10,48.0
6254,Olivia Wilson,olivia_wilson221@gmail.com,Operations,33,9,0,10,64.0
11645,Eva Perez,eva_perez629@gmail.com,Sales & Marketing,41,7,0,10,51.0
3231,Paul Evans,paul_evans522@gmail.com,Technology,29,4,0,10,80.0
7030,Rachel Smith,rachel_smith924@gmail.com,Analytics,32,4,0,10,86.0
54198,Bob Carter,bob_carter216@gmail.com,Procurement,47,9,0,10,68.0
62293,Sam Hill,sam_hill205@gmail.com,Operations,35,3,0,10,65.0
25312,Sam Davis,sam_davis66@gmail.com,Technology,27,2,0,10,75.0
75610,Uma Brown,uma_brown824@gmail.com,Analytics,29,3,0,10,81.0
16518,Eva Walker,eva_walker899@gmail.com,Sales & Marketing,36,9,0,10,49.0
42747,Mia Green,mia_green801@gmail.com,Sales & Marketing,35,8,0,10,39.0
67980,Harry Harris,harry_harris764@gmail.com,Procurement,34,2,0,10,70.0
53630,Wendy Taylor,wendy_taylor801@gmail.com,Sales & Marketing,34,5,1,10,94.0
72423,Yvonne Cooper,yvonne_cooper145@gmail.com,Operations,39,2,0,10,60.0
73022,Bob Hill,bob_hill866@gmail.com,Sales & Marketing,26,2,0,10,51.0
63976,David Carter,david_carter470@gmail.com,Operations,30,4,0,10,56.0
60761,Wendy Carter,wendy_carter584@gmail.com,Operations,31,2,0,10,62.0
57228,Tina Hill,tina_hill991@gmail.com,HR,44,6,0,10,48.0
14912,Zach Walker,zach_walker922@gmail.com,Sales & Marketing,38,4,0,10,49.0
22725,Grace Kelly,grace_kelly335@gmail.com,Technology,40,3,0,10,78.0
18981,Catherine Morgan,catherine_morgan279@gmail.com,Legal,50,6,0,10,58.0
50845,Quincy Kelly,quincy_kelly14@gmail.com,Procurement,44,12,0,10,70.0
11800,David Harris,david_harris765@gmail.com,Procurement,23,2,0,10,69.0
16351,Rachel Perez,rachel_perez562@gmail.com,Sales & Marketing,36,2,0,10,53.0
75881,Yvonne Davis,yvonne_davis169@gmail.com,Analytics,25,4,0,10,80.0
73200,Mia Perez,mia_perez767@gmail.com,Operations,34,4,0,10,58.0
17833,Jack Kelly,jack_kelly769@gmail.com,Analytics,28,1,0,10,85.0
58338,Zach Taylor,zach_taylor971@gmail.com,Analytics,30,6,0,10,81.0
40187,Olivia Taylor,olivia_taylor346@gmail.com,Procurement,35,8,0,10,67.0
70193,Frank Evans,frank_evans494@gmail.com,Analytics,33,8,0,10,86.0
27188,Rachel Walker,rachel_walker822@gmail.com,Analytics,30,4,0,10,80.0
24291,Rachel Kelly,rachel_kelly527@gmail.com,Analytics,27,3,0,10,85.0
43676,Grace Thompson,grace_thompson587@gmail.com,Procurement,29,1,0,10,68.0
52231,Zach Baker,zach_baker421@gmail.com,Operations,43,3,0,10,58.0
34241,Zach Wood,zach_wood7@gmail.com,Analytics,28,5,0,10,86.0
76661,Zach Carter,zach_carter908@gmail.com,Procurement,31,3,0,10,68.0
50595,Harry Smith,harry_smith722@gmail.com,Operations,43,12,0,10,58.0
67673,Sam White,sam_white729@gmail.com,Operations,35,9,0,10,60.0
10547,Quincy Wood,quincy_wood944@gmail.com,Sales & Marketing,35,9,0,10,49.0
73405,Xander Taylor,xander_taylor344@gmail.com,Operations,50,8,0,10,59.0
73114,Grace Wilson,grace_wilson618@gmail.com,HR,26,3,0,10,50.0
22572,Quincy Kelly,quincy_kelly310@gmail.com,Sales & Marketing,32,5,0,10,52.0
62923,Quincy Morgan,quincy_morgan373@gmail.com,Operations,38,2,1,10,93.0
57235,David Martinez,david_martinez494@gmail.com,Sales & Marketing,22,2,0,10,51.0
22300,Victor Perez,victor_perez491@gmail.com,HR,28,1,0,10,52.0
24090,Harry Morgan,harry_morgan975@gmail.com,Procurement,37,9,0,10,69.0
57298,Paul Morgan,paul_morgan415@gmail.com,Analytics,54,9,0,10,86.0
25629,Frank Lee,frank_lee157@gmail.com,Sales & Marketing,36,8,0,10,51.0
71339,Catherine Carter,catherine_carter180@gmail.com,Technology,35,8,0,10,78.0
54714,Victor Hill,victor_hill391@gmail.com,Analytics,39,4,0,10,85.0
7390,Olivia Taylor,olivia_taylor984@gmail.com,Operations,31,4,0,10,63.0
9563,Uma Taylor,uma_taylor641@gmail.com,Operations,38,7,0,10,60.0
39107,Olivia Kelly,olivia_kelly909@gmail.com,Sales & Marketing,28,2,0,10,48.0
19445,Harry Morgan,harry_morgan950@gmail.com,Sales & Marketing,26,3,0,10,52.0
42636,Yvonne Taylor,yvonne_taylor819@gmail.com,Sales & Marketing,29,1,0,10,54.0
32557,Uma Morgan,uma_morgan627@gmail.com,Analytics,30,4,0,10,84.0
43396,Uma Baker,uma_baker362@gmail.com,Operations,37,4,1,10,57.0
24414,Mia Martinez,mia_martinez791@gmail.com,R&D,25,1,0,10,76.0
63237,Zach Davis,zach_davis430@gmail.com,Technology,26,2,0,10,82.0
32838,Catherine Harris,catherine_harris468@gmail.com,Technology,31,4,0,10,78.0
23003,Victor Thompson,victor_thompson817@gmail.com,Technology,38,7,0,10,82.0
45198,Sam Wood,sam_wood738@gmail.com,Sales & Marketing,39,9,0,10,49.0
40376,Grace Moore,grace_moore818@gmail.com,Sales & Marketing,30,4,0,10,50.0
60176,Frank Phillips,frank_phillips381@gmail.com,Procurement,34,8,0,10,67.0
67652,Paul Morgan,paul_morgan562@gmail.com,Procurement,33,5,0,10,72.0
15476,Tina Morgan,tina_morgan21@gmail.com,Technology,29,3,0,10,78.0
55811,Yvonne Wood,yvonne_wood507@gmail.com,Operations,28,2,0,10,
15737,Alice Kelly,alice_kelly946@gmail.com,Finance,24,1,0,10,56.0
10058,David Brown,david_brown929@gmail.com,Analytics,26,2,0,10,87.0
73435,Xander Morgan,xander_morgan637@gmail.com,Legal,34,4,0,10,64.0
51255,Yvonne Baker,yvonne_baker271@gmail.com,Sales & Marketing,35,7,0,10,46.0
70060,Isabella Moore,isabella_moore865@gmail.com,Technology,43,14,0,10,79.0
51473,Xander Harris,xander_harris663@gmail.com,Sales & Marketing,34,8,0,10,39.0
71904,Uma Cooper,uma_cooper991@gmail.com,Technology,38,10,0,10,88.0
76080,Victor Morgan,victor_morgan156@gmail.com,Operations,34,5,0,10,54.0
33357,Xander Walker,xander_walker39@gmail.com,Operations,41,4,0,10,63.0
53502,David Walker,david_walker986@gmail.com,Finance,29,4,0,10,
26409,Catherine Phillips,catherine_phillips968@gmail.com,Operations,33,3,0,10,
59608,Victor Thompson,victor_thompson915@gmail.com,Sales & Marketing,41,5,0,10,48.0
28687,Eva White,eva_white12@gmail.com,Operations,38,11,0,10,57.0
34312,Rachel Kelly,rachel_kelly500@gmail.com,Procurement,54,23,0,10,66.0
11438,Uma White,uma_white173@gmail.com,Sales & Marketing,34,8,0,10,49.0
11794,Jack Brooks,jack_brooks304@gmail.com,R&D,26,3,0,10,87.0
48756,Uma Hill,uma_hill488@gmail.com,Operations,35,3,0,10,59.0
35873,Zach Wilson,zach_wilson735@gmail.com,Legal,28,1,0,10,62.0
13970,Rachel Moore,rachel_moore638@gmail.com,Operations,36,4,0,10,60.0
49868,Paul Thompson,paul_thompson980@gmail.com,Technology,45,15,0,10,87.0
25261,Bob Hill,bob_hill315@gmail.com,Procurement,38,7,0,10,66.0
44536,Victor Perez,victor_perez894@gmail.com,Sales & Marketing,26,4,0,10,47.0
55550,Frank Lee,frank_lee948@gmail.com,Analytics,31,4,0,10,85.0
27989,Yvonne Lee,yvonne_lee610@gmail.com,Analytics,32,7,0,10,87.0
12598,Harry White,harry_white63@gmail.com,Analytics,29,4,0,10,78.0
32877,Zach Harris,zach_harris164@gmail.com,Sales & Marketing,40,12,0,10,50.0
30682,Catherine Brooks,catherine_brooks422@gmail.com,Technology,29,6,0,10,75.0
1829,Karen Carter,karen_carter527@gmail.com,Analytics,31,7,0,10,87.0
2177,Paul Evans,paul_evans762@gmail.com,Finance,32,6,0,10,58.0
51771,David Cooper,david_cooper58@gmail.com,Operations,42,11,0,10,67.0
26026,Noah Johnson,noah_johnson400@gmail.com,Procurement,30,3,0,10,65.0
64977,Olivia Edwards,olivia_edwards829@gmail.com,Procurement,24,2,0,10,70.0
44585,Zach Lee,zach_lee187@gmail.com,Sales & Marketing,35,7,0,10,56.0
43562,Uma Martinez,uma_martinez411@gmail.com,Technology,32,3,0,10,80.0
56287,Liam Perez,liam_perez156@gmail.com,HR,22,2,0,10,47.0
19100,Xander Moore,xander_moore790@gmail.com,Sales & Marketing,44,14,0,10,48.0
58203,Grace Taylor,grace_taylor57@gmail.com,Operations,39,9,0,10,58.0
12504,Alice Morgan,alice_morgan599@gmail.com,Technology,46,17,0,10,85.0
49126,Yvonne White,yvonne_white152@gmail.com,Technology,29,5,0,10,77.0
66469,Catherine Lee,catherine_lee707@gmail.com,Finance,26,3,0,10,59.0
53350,Bob Cooper,bob_cooper313@gmail.com,Operations,35,5,0,10,
22031,Liam Martinez,liam_martinez826@gmail.com,Procurement,29,2,1,10,95.0
36185,Noah Smith,noah_smith493@gmail.com,Technology,30,9,0,10,79.0
58415,Grace White,grace_white827@gmail.com,Sales & Marketing,45,5,0,10,50.0
71763,Bob Brown,bob_brown777@gmail.com,Sales & Marketing,30,6,0,10,47.0
62742,Paul Brown,paul_brown700@gmail.com,Finance,28,4,0,10,59.0
33619,David Phillips,david_phillips939@gmail.com,Technology,46,10,0,10,76.0
41212,Sam Phillips,sam_phillips661@gmail.com,Procurement,27,2,0,10,69.0
40204,Frank Edwards,frank_edwards436@gmail.com,Sales & Marketing,34,5,0,10,47.0
59131,Wendy Evans,wendy_evans414@gmail.com,Analytics,32,3,0,10,86.0
12559,Eva Walker,eva_walker64@gmail.com,Operations,35,10,0,10,63.0
30433,Sam Smith,sam_smith823@gmail.com,Procurement,36,3,0,10,66.0
13150,Bob Cooper,bob_cooper411@gmail.com,Procurement,58,13,0,10,70.0
9616,Uma Green,uma_green179@gmail.com,Finance,29,4,0,10,57.0
26563,Sam Harris,sam_harris127@gmail.com,Procurement,33,3,0,10,67.0
38331,Xander Taylor,xander_taylor624@gmail.com,Operations,32,6,0,10,62.0
18651,Yvonne Edwards,yvonne_edwards330@gmail.com,Legal,25,2,0,10,59.0
45004,Karen Davis,karen_davis931@gmail.com,Procurement,41,9,0,10,68.0
11892,Zach Kelly,zach_kelly158@gmail.com,Procurement,25,1,0,10,69.0
16859,Olivia Carter,olivia_carter413@gmail.com,Analytics,50,7,0,10,79.0
26107,Eva Hill,eva_hill592@gmail.com,Sales & Marketing,30,7,0,10,53.0
22511,Victor Carter,victor_carter495@gmail.com,Technology,28,1,0,10,81.0
22865,Paul Kelly,paul_kelly59@gmail.com,Analytics,40,5,1,10,83.0
67467,Sam Wilson,sam_wilson33@gmail.com,Finance,26,2,0,10,
2268,Wendy Edwards,wendy_edwards414@gmail.com,Technology,35,8,0,10,81.0
33517,Noah Davis,noah_davis478@gmail.com,Sales & Marketing,37,7,0,10,52.0
27605,Rachel Taylor,rachel_taylor142@gmail.com,Operations,34,3,1,10,75.0
69349,Eva Cooper,eva_cooper154@gmail.com,Operations,25,2,0,10,57.0
45496,Harry Wilson,harry_wilson35@gmail.com,Sales & Marketing,22,2,1,10,62.0
66262,Bob Morgan,bob_morgan35@gmail.com,Procurement,26,2,1,10,68.0
55425,Harry Morgan,harry_morgan81@gmail.com,Technology,31,7,0,10,80.0
29543,Yvonne Green,yvonne_green780@gmail.com,Finance,31,3,0,10,60.0
36547,Tina Carter,tina_carter797@gmail.com,Analytics,32,6,0,10,86.0
11205,Rachel Thompson,rachel_thompson658@gmail.com,Sales & Marketing,36,8,0,10,48.0
469,Catherine Harris,catherine_harris155@gmail.com,Technology,57,19,0,10,81.0
44703,Alice Morgan,alice_morgan172@gmail.com,Sales & Marketing,42,9,0,10,51.0
14847,Wendy Edwards,wendy_edwards952@gmail.com,Sales & Marketing,28,3,0,10,48.0
43689,Sam Perez,sam_perez773@gmail.com,Analytics,33,3,0,10,86.0
72157,Uma Johnson,uma_johnson721@gmail.com,Analytics,41,3,0,10,86.0
74579,Harry Wood,harry_wood846@gmail.com,Operations,26,1,0,10,
51544,Xander Harris,xander_harris289@gmail.com,Procurement,32,5,1,10,84.0
